python
java
c++
javascript
typescript
html
css
sql
mysql
postgresql
sqlite
nosql
mongodb
redis
aws
azure
gcp
docker
kubernetes
linux
git
ci/cd
jenkins
github actions
gitlab ci
bash
powershell
terraform
ansible
chef
puppet
machine learning
ml
deep learning
deeplearning
nlp
computer vision
cv
scikit-learn
sklearn
tensorflow
pytorch
keras
pandas
numpy
scipy
matplotlib
seaborn
plotly
flask
django
fastapi
rest
graphql
api
data engineering
data analysis
data visualization
statistics
probability
etl
elt
spark
hadoop
hive
airflow
dbt
snowflake
databricks
bigquery
redshift
synapse
excel
power bi
tableau
lookml
snowplow
segment
mixpanel
amplitude
r
sas
stata
php
ruby
rails
go
rust
swift
kotlin
android
ios
react
reactjs
angular
vue
svelte
node
nodejs
express
spring
spring boot
. net
.net
c#
qa
selenium
cypress
playwright
pytest
unittest
tdd
bdd
microservices
serverless
message queues
kafka
rabbitmq
zeromq
webrtc
opencv
nlp spaCy
nltk
